rank,PubYear,Life Sciences,Physics,Chemistry,Computers,Engineering,Mathematics,Agriculture & Environment,Humanity,Others,Sums of cits
0,1987,29107.5619,2.833333333,50.37142857,1.5,77.61666667,0,100.8,1.566666667,996.75,30339
1,1997,18737.3381,21.6,193.7166667,297.2928571,98.93333333,153.652381,541.5833333,4.483333333,645.5,20694.1
2,1976,14924.43889,1.333333333,225.3904762,0.5,139.8111111,0,218.9928571,10.86666667,502.6666667,16024
3,1997,8615.916667,62.25,6202.183333,0.7,101.5333333,0.333333333,49.08333333,0,771,15803
4,1994,13781.05714,4.833333333,100.35,81.94761905,21.06666667,42.56190476,296.6666667,3.65,431.8333333,14763.96667
5,1979,13509.65,1.75,66.41666667,1,79.65,0,44.86666667,0.5,787.1666667,14491
6,2001,13370.53333,4.55,95.28333333,0.333333333,236.5166667,2.866666667,523.8333333,22.91666667,211.1666667,14468
7,1983,11801.61667,0,21.08333333,0,19.33333333,0,89.63333333,0.333333333,840,12772
8,1988,10975.35,1.833333333,83.58333333,4,70.2452381,2.5,153.8547619,4.5,701.3333333,11997.2
9,1990,10821.17937,1.833333333,63.73888889,93.31428571,26.2,21.3452381,119.5222222,1.7,624.1666667,11773
10,1998,9548.871429,32.7,521.8833333,5.25952381,52.95,4.585714286,4.916666667,0,1012.5,11183.66667
11,1969,9829.366667,0.333333333,172.3261905,0,46.06666667,0,247.2738095,3.8,514.8333333,10814
12,1997,10258.91667,3.75,45.46666667,20.81666667,22.11666667,9.133333333,319.6333333,1.916666667,229.25,10911
13,1993,181.4035714,2714.785714,6896.882143,32.38333333,382.2119048,67.58333333,27.5,0.5,29.75,10333
14,2001,9408.616667,0,20.91666667,5.916666667,211.9166667,3.133333333,47.91666667,23.25,22,9743.666667
15,1975,7766.183333,1,19.08333333,0.5,17.56666667,0,15.83333333,0.5,1471.333333,9292
16,1970,8303.75,0,103.4166667,0.5,23.66666667,0,36.16666667,0,784.5,9252
17,1985,8125.15,0,51.35,0,5,0,85.16666667,0.5,306.8333333,8574
18,2000,6146.942857,232.2333333,1184.616667,462.6190476,151.25,131.0380952,22.38333333,7.5,164.75,8503.333333
19,1999,8026.483333,18.83333333,35.71666667,1.45,186.9,2.2,44.58333333,24,100.8333333,8441
20,1991,7806.195238,5.666666667,230.7952381,0.25,60.07619048,0.333333333,20.6,9.416666667,147.6666667,8281
21,2001,7392.866667,2.066666667,6.866666667,18.21666667,5.066666667,15,177.9166667,4,199,7821
22,1991,6708.35,30.58333333,332.9809524,14.06746032,26.25,6.107142857,8.377777778,2.45,614.8333333,7744
23,2000,7171.666667,22.13333333,117.6333333,15.86666667,70.71666667,28.9,37.41666667,3.333333333,235.3333333,7703
24,1985,7239.333333,5.166666667,74.2,1.5,37.83333333,0,8.7,1.666666667,286.6,7655
25,1990,255.702381,22.81666667,7104.921429,2.533333333,141.8595238,0.666666667,5.666666667,0.5,45.33333333,7580
26,1984,6912.666667,0.333333333,21.66666667,42.66666667,6.833333333,1.5,6.833333333,0,499.5,7492
27,1977,6094.833333,2.25,50.33333333,4,10,0.75,17.83333333,0.5,1238.5,7419
28,1977,6514.75,0,11.25,0,17,0,24.5,0.5,796,7364
29,1998,6959.1,0,1.25,7.033333333,1.5,3.866666667,161.8333333,1.666666667,145.75,7282
30,1963,4556.6,0,3,0,207.2333333,0,28.16666667,1.5,150.5,4947
31,1979,6104.916667,0,10.08333333,0,5.833333333,1,6,0.833333333,982.3333333,7111
32,2002,6472.6,0.666666667,33.58333333,6.666666667,33,13.73333333,29.91666667,27.5,56.33333333,6674
33,1980,5800.233333,0,8.166666667,0,6.833333333,0,11.1,0,767.6666667,6594
34,2001,5527.483333,37.56666667,137.85,84.95,87.03333333,54.51666667,37.98333333,21.58333333,453.5333333,6442.5
35,2002,284.0666667,147.7166667,5724.733333,42.86666667,189.5833333,4.166666667,8.866666667,4.5,11.5,6418
36,1984,5928.316667,0.25,85.18333333,1.166666667,19.16666667,0.25,17.66666667,4.166666667,312.8333333,6369
37,1998,5933.5,3.4,24.7,0.25,42.9,1,7.416666667,0.5,124.3333333,6138
38,1988,5866.333333,1.833333333,62.55,0,30.73333333,0,5.3,1.5,77.75,6046
39,1975,5429.8,0,67.26666667,3.333333333,83.93333333,0,29.33333333,0,393.3333333,6007
40,1992,5638.644444,2,58.56111111,1.75,140.45,0.5,6.511111111,0,154.5833333,6003
41,1979,5454.283333,0,35.11666667,0,7.333333333,0,49.1,0,327.1666667,5873
42,1998,5398.066667,1,14.46666667,4.166666667,90.15,2.983333333,3.833333333,8.333333333,26,5549
43,2001,4624.733333,35.48333333,241.9,80.88333333,106.5166667,53.48333333,44.16666667,24.16666667,316.8333333,5528.166667
